Micros,Voltage,Pack SoC,DCL,Failsafe,DTC1,DTC2,Temperature High,PC,Torque,RPM,Motor_temp,Controller_temp,time_interval,input_power,output_power,speed,motor_efficiency,E_remaining,E_per_km
32343078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,31,32,0.519004,0.00573,0.0,0.0,0.0,8.459999999999999,
32862077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
33381078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
33900074,57.3,94.0,176,0,0,0,28,0.0,0.0,0,32,32,0.518996,0.0,0.0,0.0,,8.459999999999999,
34419076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519002,0.00573,0.0,0.0,0.0,8.459999999999999,
34938076,57.3,94.0,176,0,0,0,28,0.0,0.0,0,32,32,0.519,0.0,0.0,0.0,,8.459999999999999,
35459078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.521002,0.00573,0.0,0.0,0.0,8.459999999999999,
35978077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
36497076,57.3,94.0,176,0,0,0,28,0.4,0.0,0,32,32,0.518999,0.02292,0.0,0.0,0.0,8.459999999999999,
39092076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,1.037999,0.00573,0.0,0.0,0.0,8.459999999999999,
39611077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
40132076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.520999,0.00573,0.0,0.0,0.0,8.459999999999999,
40651077,57.3,94.0,176,0,0,0,28,2.5,4.5,61,32,32,0.519001,0.14325,0.0287493,0.440446792,20.069319371727747,8.459999999999999,0.3252379234039239
41170079,57.2,94.0,176,0,0,0,28,4.1,5.4,255,32,32,0.519002,0.23452,0.1442178,1.841212,61.49488316561488,8.459999999999999,0.127372621946848
